"","SITE","REGION","REGION_SUB","YEAR","DATE","SI_LATI","SI_LONG","DEPTH","HABITAT","REEF_ZONE","OCEAN","ll_id","long_bin_2.5","lat_bin_2.5","coral_cover"
"1","AGU-00120","MARIAN","Aguijan",2014,2014-04-08,14.86551809,145.5786213,14.9,"PAV","Forereef","PACIFIC",2162,145.5625,14.8541666666667,4.72972976670928
"2","AGU-00127","MARIAN","Aguijan",2014,2014-04-08,14.84365985,145.5659106,20.7,"PAV","Forereef","PACIFIC",2163,145.5625,14.8541666666667,4.47284345047923
"3","AGU-00130","MARIAN","Aguijan",2014,2014-04-08,14.84862101,145.5375061,8.45,"AGR","Forereef","PACIFIC",2164,145.520833333333,14.8541666666667,9.31034472092747
"4","AGU-00133","MARIAN","Aguijan",2014,2014-04-08,14.86694561,145.5729019,20,"ROB","Forereef","PACIFIC",2165,145.5625,14.8541666666667,2.21402219664765
"5","AGU-00134","MARIAN","Aguijan",2014,2014-04-08,14.84750211,145.5372731,5.4,"AGR","Forereef","PACIFIC",2166,145.520833333333,14.8541666666667,36.1635219574285
"6","AGU-00138","MARIAN","Aguijan",2014,2014-04-08,14.82924976,145.5302073,20.15,"PAV","Forereef","PACIFIC",2167,145.520833333333,14.8125,6.94006309148265
"7","AGU-00142","MARIAN","Aguijan",2014,2014-04-08,14.84227859,145.5542424,15,"AGR","Forereef","PACIFIC",2168,145.5625,14.8541666666667,5.1369862056671
"8","AGU-00144","MARIAN","Aguijan",2014,2014-04-08,14.86163911,145.5615422,3.75,"AGR","Forereef","PACIFIC",2169,145.5625,14.8541666666667,40.5940592631115
"9","AGU-00200","MARIAN","Aguijan",2014,2014-04-08,14.85690535,145.5473116,23.6,"AGR","Forereef","PACIFIC",2170,145.5625,14.8541666666667,12.5523013116717
"10","AGU-00202","MARIAN","Aguijan",2014,2014-04-08,14.85945345,145.5553907,12.5,"SAG","Forereef","PACIFIC",2171,145.5625,14.8541666666667,7.69230761589915
"11","ALA-00096","MARIAN","Alamagan",2014,2014-05-02,17.59192429,145.8137212,20,"AGR","Forereef","PACIFIC",2172,145.8125,17.6041666666667,16.6037736817942
"12","ALA-00101","MARIAN","Alamagan",2014,2014-05-02,17.57945596,145.8230366,21.85,"AGR","Forereef","PACIFIC",2173,145.8125,17.5625,5.68181828254132
"13","ALA-00104","MARIAN","Alamagan",2014,2014-05-02,17.6211183,145.83638,16.2,"ROB","Forereef","PACIFIC",2174,145.854166666667,17.6041666666667,9.18727909425764
"14","ALA-00111","MARIAN","Alamagan",2014,2014-05-02,17.57908179,145.835197,9.85,"ROB","Forereef","PACIFIC",2175,145.854166666667,17.5625,6.39097744856973
"15","ALA-00112","MARIAN","Alamagan",2014,2014-05-02,17.61450581,145.8197676,8.95,"ROB","Forereef","PACIFIC",2176,145.8125,17.6041666666667,10.8013936076679
"16","ALA-00116","MARIAN","Alamagan",2014,2014-05-02,17.58363945,145.8216993,9.65,"PPR","Forereef","PACIFIC",2177,145.8125,17.6041666666667,6.53594762236747
"17","ALA-00129","MARIAN","Alamagan",2014,2014-05-02,17.60209993,145.8140697,3.3,"PAV","Forereef","PACIFIC",2178,145.8125,17.6041666666667,0
"18","ALA-00130","MARIAN","Alamagan",2014,2014-05-02,17.58607104,145.8217236,5.1,"RRB","Forereef","PACIFIC",2179,145.8125,17.6041666666667,0.3472221875
"19","ALA-00139","MARIAN","Alamagan",2014,2014-05-02,17.60798654,145.8497412,10.65,"PAV","Forereef","PACIFIC",2180,145.854166666667,17.6041666666667,11.3793102609988
