"","group","i",".variable",".value",".lower",".upper",".width",".point",".interval","JURISDICTION"
"1","EPRICO",1,"alpha",-1.7059535468612,-6.14643861965335,1.64969503789419,0.95,"median","qi","PRICO"
"2","French Frigate",2,"alpha",0.199553943639603,-1.39648024587497,2.82539089408484,0.95,"median","qi","NWHI"
"3","Guam",3,"alpha",-1.20931360631476,-3.87863903669087,2.18288599811886,0.95,"median","qi","MARIAN"
"4","Hawaii",4,"alpha",-0.431135417415146,-2.01177545109519,3.43686975287415,0.95,"median","qi","MHI"
"5","Kahoolawe",5,"alpha",0.0182437597734338,-1.64630726329094,2.57390330143267,0.95,"median","qi","MHI"
"6","Kauai",6,"alpha",-1.55267647594096,-5.88559720147863,1.96196585733835,0.95,"median","qi","MHI"
"7","Keys_lower",7,"alpha",-0.951132602664722,-3.33357221510853,1.74338355616903,0.95,"median","qi","FLORIDA"
"8","Keys_middle",8,"alpha",-1.76165481431078,-4.86526235697063,0.895408288631601,0.95,"median","qi","FLORIDA"
"9","Keys_upper",9,"alpha",-1.80191021294095,-6.44571584786247,1.5220778984313,0.95,"median","qi","FLORIDA"
"10","Kure",10,"alpha",-1.25133027826311,-5.58881140229623,2.03590197032268,0.95,"median","qi","NWHI"
"11","Lanai",11,"alpha",0.505952254120439,-1.09833460955637,4.0683900044861,0.95,"median","qi","MHI"
"12","Lisianski",12,"alpha",-0.38835786639752,-2.40987152752987,2.7291655423413,0.95,"median","qi","NWHI"
"13","Manua_islands",13,"alpha",1.60521264984625,-0.519076458288248,5.52889743029907,0.95,"median","qi","SAMOA"
"14","Marianas_lower",14,"alpha",-0.299867739094506,-2.65476113307687,3.4054551343926,0.95,"median","qi","MARIAN"
"15","Marianas_middle",15,"alpha",-1.11669159337708,-4.65049338884866,2.54306497141423,0.95,"median","qi","MARIAN"
"16","Marianas_upper",16,"alpha",0.434376606158063,-1.48598709652886,4.05455110831742,0.95,"median","qi","MARIAN"
"17","Maui",17,"alpha",-1.09485677817079,-2.27764478147466,0.0447873142462359,0.95,"median","qi","MHI"
"18","Molokai",18,"alpha",-1.22055952880815,-2.52604688763775,-0.0223684501195346,0.95,"median","qi","MHI"
"19","Niihau",19,"alpha",-1.55686680682999,-6.03710156356456,1.78546715007365,0.95,"median","qi","MHI"
"20","NPRICO",20,"alpha",-1.30860715248869,-5.63183456155187,1.86265255429874,0.95,"median","qi","PRICO"
"21","Oahu",21,"alpha",0.134702027442376,-1.67186506712455,3.63188674165607,0.95,"median","qi","MHI"
"22","Pearl & Hermes",22,"alpha",-1.40102452198354,-5.84096132054726,2.04471593525452,0.95,"median","qi","NWHI"
"23","Rose",23,"alpha",-0.620254801008599,-3.28880871666159,2.84777857864785,0.95,"median","qi","SAMOA"
